Date,DPIS
2021/5/18,0.306891615
2021/5/19,1.817758716
2021/5/20,0.593097071
2021/5/21,0.997050718
2021/5/24,1.70611829
2021/5/25,-0.572925158
2021/5/26,-1.388325319
2021/5/27,0.190289392
2021/5/28,1.856035434
2021/5/31,1.245846357
2021/6/1,-0.515626769
2021/6/2,0.540096061
2021/6/3,-0.469508553
2021/6/4,-0.182837722
2021/6/7,1.397465347
2021/6/8,0.30003266
2021/6/9,0.020686158
2021/6/10,1.027921687
2021/6/11,-0.342749342
2021/6/15,0.275091008
2021/6/16,0.94710382
2021/6/17,1.840659316
2021/6/18,0.584943069
2021/6/21,2.455704009
2021/6/22,0.689238439
2021/6/23,-0.042915054
2021/6/24,0.956532571
2021/6/25,0.746970972
2021/6/28,-0.612367771
2021/6/29,0.985928089
2021/6/30,0.848749004
2021/7/1,0.456808758
2021/7/2,1.302495211
2021/7/5,0.877628811
2021/7/6,-0.155755915
2021/7/7,0.509411265
2021/7/8,0.248590503
2021/7/9,0.311961277
2021/7/12,1.123107175
2021/7/13,-1.468053335
2021/7/14,1.397465347
2021/7/15,-0.233718692
2021/7/16,1.625393674
2021/7/19,2.055924959
2021/7/20,1.123107175
2021/7/21,1.32589365
2021/7/22,-0.209489658
2021/7/23,-0.217818389
2021/7/26,-0.042915054
2021/7/27,0.456808758
2021/7/28,-0.11430417
2021/7/29,0.742365223
2021/7/30,0.290234154
2021/8/2,0.12365955
2021/8/3,1.32589365
2021/8/4,1.547115259
2021/8/5,-1.292224586
2021/8/6,1.424016138
2021/8/9,1.571577263
2021/8/10,-1.675346175
2021/8/11,0.593097071
2021/8/12,-0.523041855
2021/8/13,0.817265279
2021/8/16,1.753389461
2021/8/17,0.345759022
2021/8/18,1.123107175
2021/8/19,0.699099092
2021/8/20,1.256366859
2021/8/23,1.229109196
2021/8/24,0.30003266
2021/8/25,0.540096061
2021/8/26,1.236865442
2021/8/27,1.046646701
2021/8/30,-0.742528392
2021/8/31,1.934253074
2021/9/1,-0.392721723
2021/9/2,-0.917431726
2021/9/3,1.528680125
2021/9/6,1.32589365
2021/9/7,0.345759022
2021/9/8,-0.678927179
2021/9/9,0.540096061
2021/9/10,0.178481572
2021/9/13,1.397465347
2021/9/14,0.345759022
2021/9/15,0.656698283
2021/9/16,-0.182837722
2021/9/17,0.501228653
2021/9/22,-0.227023827
2021/9/23,-1.208937284
2021/9/24,-1.271965512
2021/9/27,-1.292224586
2021/9/28,-0.904757572
2021/9/29,0.783900708
2021/9/30,0.604875073
2021/10/8,0.12365955
2021/10/11,1.006504952
2021/10/12,0.129121012
2021/10/13,0.574390832
2021/10/14,1.571577263
2021/10/15,0.563416505
2021/10/18,0.206946852
2021/10/19,0.30003266
2021/10/20,-0.17247308
2021/10/21,0.345759022
2021/10/22,0.61297245
2021/10/25,0.495249052
2021/10/26,0.560199892
2021/10/27,0.678908231
2021/10/28,0.746970972
2021/10/29,0.232213786
2021/11/1,0.109174802
2021/11/2,0.069925807
2021/11/3,0.190289392
2021/11/4,1.22234311
2021/11/5,0.501228653
2021/11/8,-0.042915054
2021/11/9,0.206946852
2021/11/10,-0.595241373
2021/11/11,-0.042915054
2021/11/12,-0.042915054
2021/11/15,-2.064269288
2021/11/16,-1.31998702
2021/11/17,-1.029549248
2021/11/18,-1.071758198
2021/11/19,0.405555034
2021/11/22,-2.064269288
2021/11/23,1.614063903
2021/11/24,-1.71590347
2021/11/25,2.199435387
2021/11/26,0.006353491
2021/11/29,0.109174802
2021/11/30,0.509411265
2021/12/1,-0.803364334
2021/12/2,0.626927503
2021/12/3,0.240711975
2021/12/6,-1.894832713
2021/12/7,0.717534226
2021/12/8,-0.360921117
2021/12/9,1.123107175
2021/12/10,0.979596747
2021/12/13,-2.064269288
2021/12/14,2.1225548
2021/12/15,-0.937769323
2021/12/16,-1.364406914
2021/12/17,1.528680125
2021/12/20,0.812167914
2021/12/21,1.123107175
